,FUNC-3,FUNC-2,FUNC-1,FUNC+1,FUNC+2,FUNC+3
633,N<,>N,P<,,,
634,,,,PU,STA,MV
635,,,ADVL,STA,MV,>N
636,,ADVL,PU,MV,>N,>N
637,ADVL,PU,STA,>N,>N,SUBJ
638,PU,STA,MV,>N,SUBJ,PU
639,STA,MV,>N,SUBJ,PU,
640,MV,>N,>N,PU,,
641,>N,>N,SUBJ,,,
642,,,,N<,>N,P<
643,,,SUBJ,>N,P<,STA
644,,SUBJ,N<,P<,STA,SA
645,SUBJ,N<,>N,STA,SA,>N
646,N<,>N,P<,SA,>N,P<
647,>N,P<,STA,>N,P<,PU
648,P<,STA,SA,P<,PU,APP
649,STA,SA,>N,PU,APP,PU
650,SA,>N,P<,APP,PU,CO
651,>N,P<,PU,PU,CO,CJT
652,P<,PU,APP,CO,CJT,>N
653,PU,APP,PU,CJT,>N,P<
654,APP,PU,CO,>N,P<,PU
655,PU,CO,CJT,P<,PU,
656,CO,CJT,>N,PU,,
657,CJT,>N,P<,,,
658,,,,STA,>N,ACC
659,,,SUBJ,>N,ACC,
660,,SUBJ,STA,ACC,,
661,SUBJ,STA,>N,,,
662,,,,SUBJ,PU,APP
663,,,>N,PU,APP,PU
664,,>N,SUBJ,APP,PU,STA
665,>N,SUBJ,PU,PU,STA,ADVL
666,SUBJ,PU,APP,STA,ADVL,>N
667,PU,APP,PU,ADVL,>N,ACC
668,APP,PU,STA,>N,ACC,N<
669,PU,STA,ADVL,ACC,N<,P<
670,STA,ADVL,>N,N<,P<,PU
671,ADVL,>N,ACC,P<,PU,
672,>N,ACC,N<,PU,,
673,ACC,N<,P<,,,
674,,,,SUBJ,STA,ACC
675,,,>N,STA,ACC,ACC
676,,>N,SUBJ,ACC,ACC,>N
677,>N,SUBJ,STA,ACC,>N,P<
678,SUBJ,STA,ACC,>N,P<,N<
679,STA,ACC,ACC,P<,N<,P<
680,ACC,ACC,>N,N<,P<,CO
681,ACC,>N,P<,P<,CO,CJT
682,>N,P<,N<,CO,CJT,>N
683,P<,N<,P<,CJT,>N,ACC
684,N<,P<,CO,>N,ACC,N<
685,P<,CO,CJT,ACC,N<,P<
686,CO,CJT,>N,N<,P<,PU
687,CJT,>N,ACC,P<,PU,CJT
688,>N,ACC,N<,PU,CJT,CO
689,ACC,N<,P<,CJT,CO,CJT
690,N<,P<,PU,CO,CJT,N<
691,P<,PU,CJT,CJT,N<,>N
692,PU,CJT,CO,N<,>N,P<
693,CJT,CO,CJT,>N,P<,PU
694,CO,CJT,N<,P<,PU,
695,CJT,N<,>N,PU,,
696,N<,>N,P<,,,
697,,,,ACC,>N,ACC
698,,,SUBJ,>N,ACC,N<
699,,SUBJ,ACC,ACC,N<,P<
700,SUBJ,ACC,>N,N<,P<,N<
701,ACC,>N,ACC,P<,N<,P<
702,>N,ACC,N<,N<,P<,>N
703,ACC,N<,P<,P<,>N,>A
704,N<,P<,N<,>N,>A,N<
705,P<,N<,P<,>A,N<,A<
706,N<,P<,>N,N<,A<,>N
707,P<,>N,>A,A<,>N,P<
708,>N,>A,N<,>N,P<,PU
709,>A,N<,A<,P<,PU,PU
710,N<,A<,>N,PU,PU,STA
711,A<,>N,P<,PU,STA,>N
712,>N,P<,PU,STA,>N,SUBJ
713,P<,PU,PU,>N,SUBJ,PU
714,PU,PU,STA,SUBJ,PU,
715,PU,STA,>N,PU,,
716,STA,>N,SUBJ,,,
717,,,,SUBJ,N<,>N
718,,,>N,N<,>N,P<
719,,>N,SUBJ,>N,P<,N<ARGO
720,>N,SUBJ,N<,P<,N<ARGO,P<
721,SUBJ,N<,>N,N<ARGO,P<,N<
722,N<,>N,P<,P<,N<,>N
723,>N,P<,N<ARGO,N<,>N,P<
724,P<,N<ARGO,P<,>N,P<,ADVL
725,N<ARGO,P<,N<,P<,ADVL,STA
726,P<,N<,>N,ADVL,STA,>N
727,N<,>N,P<,STA,>N,ACC
728,>N,P<,ADVL,>N,ACC,N<
729,P<,ADVL,STA,ACC,N<,>N
730,ADVL,STA,>N,N<,>N,P<
731,STA,>N,ACC,>N,P<,PU
732,>N,ACC,N<,P<,PU,N<
733,ACC,N<,>N,PU,N<,PU
734,N<,>N,P<,N<,PU,CO
735,>N,P<,PU,PU,CO,>N
736,P<,PU,N<,CO,>N,CJT
737,PU,N<,PU,>N,CJT,PU
738,N<,PU,CO,CJT,PU,
739,PU,CO,>N,PU,,
740,CO,>N,CJT,,,
741,,,,>N,SUBJ,N<
742,,,>N,SUBJ,N<,P<
743,,>N,>N,N<,P<,N<
744,>N,>N,SUBJ,P<,N<,P<
745,>N,SUBJ,N<,N<,P<,N<
746,SUBJ,N<,P<,P<,N<,PU
747,N<,P<,N<,N<,PU,N<PRED
748,P<,N<,P<,PU,N<PRED,PU
749,N<,P<,N<,N<PRED,PU,N<PRED
750,P<,N<,PU,PU,N<PRED,PIV
751,N<,PU,N<PRED,N<PRED,PIV,>N
752,PU,N<PRED,PU,PIV,>N,P<
753,N<PRED,PU,N<PRED,>N,P<,PU
754,PU,N<PRED,PIV,P<,PU,STA
755,N<PRED,PIV,>N,PU,STA,>N
756,PIV,>N,P<,STA,>N,ACC
757,>N,P<,PU,>N,ACC,N<
758,P<,PU,STA,ACC,N<,>N
759,PU,STA,>N,N<,>N,P<
760,STA,>N,ACC,>N,P<,PU
761,>N,ACC,N<,P<,PU,
762,ACC,N<,>N,PU,,
763,N<,>N,P<,,,
764,,,,SUBJ,QUE,ACC
765,,,PU,QUE,ACC,ADVL
766,,PU,SUBJ,ACC,ADVL,>N
767,PU,SUBJ,QUE,ADVL,>N,P<
768,SUBJ,QUE,ACC,>N,P<,ADVL
769,QUE,ACC,ADVL,P<,ADVL,>N
770,ACC,ADVL,>N,ADVL,>N,P<
771,ADVL,>N,P<,>N,P<,PU
772,>N,P<,ADVL,P<,PU,
773,P<,ADVL,>N,PU,,
774,ADVL,>N,P<,,,
775,,,,ACC,PU,PU
776,,,QUE,PU,PU,
777,,QUE,ACC,PU,,
778,QUE,ACC,PU,,,
779,,,,QUE,PRT-AUX,MV
780,,,SUBJ,PRT-AUX,MV,ACC
781,,SUBJ,QUE,MV,ACC,SUB
782,SUBJ,QUE,PRT-AUX,ACC,SUB,>N
783,QUE,PRT-AUX,MV,SUB,>N,SUBJ
784,PRT-AUX,MV,ACC,>N,SUBJ,ADVL
785,MV,ACC,SUB,SUBJ,ADVL,SC
786,ACC,SUB,>N,ADVL,SC,A<
787,SUB,>N,SUBJ,SC,A<,P<
788,>N,SUBJ,ADVL,A<,P<,ACC
789,SUBJ,ADVL,SC,P<,ACC,>N
790,ADVL,SC,A<,ACC,>N,>N
791,SC,A<,P<,>N,>N,SUBJ
792,A<,P<,ACC,>N,SUBJ,N<
793,P<,ACC,>N,SUBJ,N<,PU
794,ACC,>N,>N,N<,PU,ADVL
795,>N,>N,SUBJ,PU,ADVL,CJT
796,>N,SUBJ,N<,ADVL,CJT,>N
797,SUBJ,N<,PU,CJT,>N,SUBJ
798,N<,PU,ADVL,>N,SUBJ,N<
799,PU,ADVL,CJT,SUBJ,N<,N<
800,ADVL,CJT,>N,N<,N<,P<
801,CJT,>N,SUBJ,N<,P<,ACC
802,>N,SUBJ,N<,P<,ACC,OC
803,SUBJ,N<,N<,ACC,OC,PU
804,N<,N<,P<,OC,PU,
805,N<,P<,ACC,PU,,
806,P<,ACC,OC,,,
807,,,,SUBJ,N<,PU
808,,,>N,N<,PU,N<PRED
809,,>N,SUBJ,PU,N<PRED,PIV
810,>N,SUBJ,N<,N<PRED,PIV,P<
811,SUBJ,N<,PU,PIV,P<,STA
812,N<,PU,N<PRED,P<,STA,SUB
813,PU,N<PRED,PIV,STA,SUB,>N
814,N<PRED,PIV,P<,SUB,>N,SUBJ
815,PIV,P<,STA,>N,SUBJ,N<
816,P<,STA,SUB,SUBJ,N<,ACC
817,STA,SUB,>N,N<,ACC,MV
818,SUB,>N,SUBJ,ACC,MV,SC
819,>N,SUBJ,N<,MV,SC,ADVL
820,SUBJ,N<,ACC,SC,ADVL,PIV
821,N<,ACC,MV,ADVL,PIV,>N
822,ACC,MV,SC,PIV,>N,P<
823,MV,SC,ADVL,>N,P<,N<
824,SC,ADVL,PIV,P<,N<,>N
825,ADVL,PIV,>N,N<,>N,P<
826,PIV,>N,P<,>N,P<,PU
827,>N,P<,N<,P<,PU,
828,P<,N<,>N,PU,,
829,N<,>N,P<,,,
830,,,,SUB,>N,SUBJ
831,,,PU,>N,SUBJ,ADVL
832,,PU,SUB,SUBJ,ADVL,>N
833,PU,SUB,>N,ADVL,>N,>N
834,SUB,>N,SUBJ,>N,>N,ACC
835,>N,SUBJ,ADVL,>N,ACC,ADVL
836,SUBJ,ADVL,>N,ACC,ADVL,>N
837,ADVL,>N,>N,ADVL,>N,P<
838,>N,>N,ACC,>N,P<,N<
839,>N,ACC,ADVL,P<,N<,>N
840,ACC,ADVL,>N,N<,>N,P<
841,ADVL,>N,P<,>N,P<,N<
842,>N,P<,N<,P<,N<,>N
843,P<,N<,>N,N<,>N,P<
844,N<,>N,P<,>N,P<,N<
845,>N,P<,N<,P<,N<,P<
846,P<,N<,>N,N<,P<,N<
847,N<,>N,P<,P<,N<,X
848,>N,P<,N<,N<,X,P<
849,P<,N<,P<,X,P<,ACC
850,N<,P<,N<,P<,ACC,SC
851,P<,N<,X,ACC,SC,N<
852,N<,X,P<,SC,N<,P<
853,X,P<,ACC,N<,P<,PU
854,P<,ACC,SC,P<,PU,PU
855,ACC,SC,N<,PU,PU,STA
856,SC,N<,P<,PU,STA,PU
857,N<,P<,PU,STA,PU,
858,P<,PU,PU,PU,,
859,PU,PU,STA,,,
860,,,,SUB,SUBJ,ADVL
861,,,ACC,SUBJ,ADVL,SC
862,,ACC,SUB,ADVL,SC,SC
863,ACC,SUB,SUBJ,SC,SC,>N
864,SUB,SUBJ,ADVL,SC,>N,SUBJ
865,SUBJ,ADVL,SC,>N,SUBJ,N<
866,ADVL,SC,SC,SUBJ,N<,>N
867,SC,SC,>N,N<,>N,P<
868,SC,>N,SUBJ,>N,P<,N<
869,>N,SUBJ,N<,P<,N<,PU
870,SUBJ,N<,>N,N<,PU,STA
871,N<,>N,P<,PU,STA,PU
872,>N,P<,N<,STA,PU,
873,P<,N<,PU,PU,,
874,N<,PU,STA,,,
875,,,,SUBJ,PIV,P<
876,,,SUBJ,PIV,P<,N<
877,,SUBJ,SUBJ,P<,N<,PU
878,SUBJ,SUBJ,PIV,N<,PU,STA
879,SUBJ,PIV,P<,PU,STA,MV
880,PIV,P<,N<,STA,MV,>N
881,P<,N<,PU,MV,>N,ACC
882,N<,PU,STA,>N,ACC,PU
883,PU,STA,MV,ACC,PU,N<PRED
884,STA,MV,>N,PU,N<PRED,PU
885,MV,>N,ACC,N<PRED,PU,>A
886,>N,ACC,PU,PU,>A,N<PRED
887,ACC,PU,N<PRED,>A,N<PRED,N<
888,PU,N<PRED,PU,N<PRED,N<,>N
889,N<PRED,PU,>A,N<,>N,P<
890,PU,>A,N<PRED,>N,P<,PU
891,>A,N<PRED,N<,P<,PU,PU
892,N<PRED,N<,>N,PU,PU,
893,N<,>N,P<,PU,,
894,>N,P<,PU,,,
895,,,,SUBJ,STA,ADVL
896,,,>N,STA,ADVL,P<
897,,>N,SUBJ,ADVL,P<,N<
898,>N,SUBJ,STA,P<,N<,P<
899,SUBJ,STA,ADVL,N<,P<,N<
900,STA,ADVL,P<,P<,N<,PU
901,ADVL,P<,N<,N<,PU,N<PRED
902,P<,N<,P<,PU,N<PRED,A<
903,N<,P<,N<,N<PRED,A<,N<
904,P<,N<,PU,A<,N<,PU
905,N<,PU,N<PRED,N<,PU,CO
906,PU,N<PRED,A<,PU,CO,CJT
907,N<PRED,A<,N<,CO,CJT,N<
908,A<,N<,PU,CJT,N<,PU
909,N<,PU,CO,N<,PU,N<PRED
910,PU,CO,CJT,PU,N<PRED,N<
911,CO,CJT,N<,N<PRED,N<,PU
912,CJT,N<,PU,N<,PU,PU
913,N<,PU,N<PRED,PU,PU,
914,PU,N<PRED,N<,PU,,
915,N<PRED,N<,PU,,,
916,,,,PU,ADVL,PU
917,,,CO,ADVL,PU,>N
918,,CO,PU,PU,>N,SUBJ
919,CO,PU,ADVL,>N,SUBJ,ACC
920,PU,ADVL,PU,SUBJ,ACC,>N
921,ADVL,PU,>N,ACC,>N,SUBJ
922,PU,>N,SUBJ,>N,SUBJ,N<
923,>N,SUBJ,ACC,SUBJ,N<,ADVL
924,SUBJ,ACC,>N,N<,ADVL,STA
925,ACC,>N,SUBJ,ADVL,STA,PRT-AUX
926,>N,SUBJ,N<,STA,PRT-AUX,AUX
927,SUBJ,N<,ADVL,PRT-AUX,AUX,MV
928,N<,ADVL,STA,AUX,MV,OA
929,ADVL,STA,PRT-AUX,MV,OA,P<
930,STA,PRT-AUX,AUX,OA,P<,SUBJ
931,PRT-AUX,AUX,MV,P<,SUBJ,N<
932,AUX,MV,OA,SUBJ,N<,>N
933,MV,OA,P<,N<,>N,ACC
934,OA,P<,SUBJ,>N,ACC,N<
935,P<,SUBJ,N<,ACC,N<,PU
936,SUBJ,N<,>N,N<,PU,
937,N<,>N,ACC,PU,,
938,>N,ACC,N<,,,
939,,,,ACC,N<,P<
940,,,STA,N<,P<,ADVL
941,,STA,ACC,P<,ADVL,>N
942,STA,ACC,N<,ADVL,>N,>N
943,ACC,N<,P<,>N,>N,P<
944,N<,P<,ADVL,>N,P<,ACC
945,P<,ADVL,>N,P<,ACC,SUBJ
946,ADVL,>N,>N,ACC,SUBJ,N<
947,>N,>N,P<,SUBJ,N<,ADVL
948,>N,P<,ACC,N<,ADVL,>N
949,P<,ACC,SUBJ,ADVL,>N,P<
950,ACC,SUBJ,N<,>N,P<,PU
951,SUBJ,N<,ADVL,P<,PU,ADVL
952,N<,ADVL,>N,PU,ADVL,>N
953,ADVL,>N,P<,ADVL,>N,P<
954,>N,P<,PU,>N,P<,N<
955,P<,PU,ADVL,P<,N<,P<
956,PU,ADVL,>N,N<,P<,PU
957,ADVL,>N,P<,P<,PU,CJT
958,>N,P<,N<,PU,CJT,PU
959,P<,N<,P<,CJT,PU,CJT
960,N<,P<,PU,PU,CJT,CO
961,P<,PU,CJT,CJT,CO,CJT
962,PU,CJT,PU,CO,CJT,PU
963,CJT,PU,CJT,CJT,PU,
964,PU,CJT,CO,PU,,
965,CJT,CO,CJT,,,
966,,,,ACC,ADVL,ACC
967,,,PU,ADVL,ACC,PIV
968,,PU,ACC,ACC,PIV,>N
969,PU,ACC,ADVL,PIV,>N,P<
970,ACC,ADVL,ACC,>N,P<,ACC
971,ADVL,ACC,PIV,P<,ACC,N<
972,ACC,PIV,>N,ACC,N<,N<
973,PIV,>N,P<,N<,N<,>N
974,>N,P<,ACC,N<,>N,P<
975,P<,ACC,N<,>N,P<,PU
976,ACC,N<,N<,P<,PU,PU
977,N<,N<,>N,PU,PU,STA
978,N<,>N,P<,PU,STA,SUBJ
979,>N,P<,PU,STA,SUBJ,PU
980,P<,PU,PU,SUBJ,PU,
981,PU,PU,STA,PU,,
982,PU,STA,SUBJ,,,
983,,,,ADVL,N<,PU
984,,,>N,N<,PU,ADVL
985,,>N,ADVL,PU,ADVL,>N
986,>N,ADVL,N<,ADVL,>N,P<
987,ADVL,N<,PU,>N,P<,PU
988,N<,PU,ADVL,P<,PU,>N
989,PU,ADVL,>N,PU,>N,SUBJ
990,ADVL,>N,P<,>N,SUBJ,N<
991,>N,P<,PU,SUBJ,N<,SUBJ
992,P<,PU,>N,N<,SUBJ,N<
993,PU,>N,SUBJ,SUBJ,N<,ADVL
994,>N,SUBJ,N<,N<,ADVL,>N
995,SUBJ,N<,SUBJ,ADVL,>N,P<
996,N<,SUBJ,N<,>N,P<,ADVL
997,SUBJ,N<,ADVL,P<,ADVL,>N
998,N<,ADVL,>N,ADVL,>N,>N
999,ADVL,>N,P<,>N,>N,P<
1000,>N,P<,ADVL,>N,P<,N<
1001,P<,ADVL,>N,P<,N<,>N
1002,ADVL,>N,>N,N<,>N,P<
1003,>N,>N,P<,>N,P<,PU
1004,>N,P<,N<,P<,PU,STA
1005,P<,N<,>N,PU,STA,PIV
1006,N<,>N,P<,STA,PIV,>N
1007,>N,P<,PU,PIV,>N,>N
1008,P<,PU,STA,>N,>N,P<
1009,PU,STA,PIV,>N,P<,N<
1010,STA,PIV,>N,P<,N<,P<
1011,PIV,>N,>N,N<,P<,SUBJ
1012,>N,>N,P<,P<,SUBJ,N<
1013,>N,P<,N<,SUBJ,N<,ADVL
1014,P<,N<,P<,N<,ADVL,>N
1015,N<,P<,SUBJ,ADVL,>N,P<
1016,P<,SUBJ,N<,>N,P<,PU
1017,SUBJ,N<,ADVL,P<,PU,
1018,N<,ADVL,>N,PU,,
1019,ADVL,>N,P<,,,
1020,,,,SUBJ,N<,P<
1021,,,>N,N<,P<,N<
1022,,>N,SUBJ,P<,N<,>N
1023,>N,SUBJ,N<,N<,>N,P<
1024,SUBJ,N<,P<,>N,P<,STA
1025,N<,P<,N<,P<,STA,MV
1026,P<,N<,>N,STA,MV,ACC
1027,N<,>N,P<,MV,ACC,PIV
1028,>N,P<,STA,ACC,PIV,>N
1029,P<,STA,MV,PIV,>N,P<
1030,STA,MV,ACC,>N,P<,ADVL
1031,MV,ACC,PIV,P<,ADVL,>N
1032,ACC,PIV,>N,ADVL,>N,P<
1033,PIV,>N,P<,>N,P<,N<
1034,>N,P<,ADVL,P<,N<,P<
1035,P<,ADVL,>N,N<,P<,N<
1036,ADVL,>N,P<,P<,N<,PU
1037,>N,P<,N<,N<,PU,
1038,P<,N<,P<,PU,,
1039,N<,P<,N<,,,
1040,,,,ACC,ACC,N<
1041,,,STA,ACC,N<,P<
1042,,STA,ACC,N<,P<,N<
1043,STA,ACC,ACC,P<,N<,>N
1044,ACC,ACC,N<,N<,>N,P<
1045,ACC,N<,P<,>N,P<,N<
1046,N<,P<,N<,P<,N<,>N
1047,P<,N<,>N,N<,>N,P<
1048,N<,>N,P<,>N,P<,N<
1049,>N,P<,N<,P<,N<,>A
1050,P<,N<,>N,N<,>A,N<PRED
1051,N<,>N,P<,>A,N<PRED,A<
1052,>N,P<,N<,N<PRED,A<,P<
1053,P<,N<,>A,A<,P<,N<
1054,N<,>A,N<PRED,P<,N<,>N
1055,>A,N<PRED,A<,N<,>N,P<
1056,N<PRED,A<,P<,>N,P<,PU
1057,A<,P<,N<,P<,PU,
1058,P<,N<,>N,PU,,
1059,N<,>N,P<,,,
1060,,,,>N,>N,SUBJ
1061,,,>N,>N,SUBJ,N<ARGO
1062,,>N,>N,SUBJ,N<ARGO,DAT
1063,>N,>N,>N,N<ARGO,DAT,P<
1064,>N,>N,SUBJ,DAT,P<,>N
1065,>N,SUBJ,N<ARGO,P<,>N,ACC
1066,SUBJ,N<ARGO,DAT,>N,ACC,STA
1067,N<ARGO,DAT,P<,ACC,STA,>N
1068,DAT,P<,>N,STA,>N,ACC
1069,P<,>N,ACC,>N,ACC,N<
1070,>N,ACC,STA,ACC,N<,PIV
1071,ACC,STA,>N,N<,PIV,P<
1072,STA,>N,ACC,PIV,P<,N<
1073,>N,ACC,N<,P<,N<,P<
1074,ACC,N<,PIV,N<,P<,CO
1075,N<,PIV,P<,P<,CO,PU
1076,PIV,P<,N<,CO,PU,ADVL
1077,P<,N<,P<,PU,ADVL,PU
1078,N<,P<,CO,ADVL,PU,>N
1079,P<,CO,PU,PU,>N,SUBJ
1080,CO,PU,ADVL,>N,SUBJ,N<
1081,PU,ADVL,PU,SUBJ,N<,CJT
1082,ADVL,PU,>N,N<,CJT,ACC
1083,PU,>N,SUBJ,CJT,ACC,>N
1084,>N,SUBJ,N<,ACC,>N,ACC
1085,SUBJ,N<,CJT,>N,ACC,N<
1086,N<,CJT,ACC,ACC,N<,P<
1087,CJT,ACC,>N,N<,P<,PU
1088,ACC,>N,ACC,P<,PU,
1089,>N,ACC,N<,PU,,
1090,ACC,N<,P<,,,
1091,,,,STA,SUB,ADVL
1092,,,SUBJ,SUB,ADVL,>N
1093,,SUBJ,STA,ADVL,>N,P<
1094,SUBJ,STA,SUB,>N,P<,>N
1095,STA,SUB,ADVL,P<,>N,N<
1096,SUB,ADVL,>N,>N,N<,>N
1097,ADVL,>N,P<,N<,>N,SUBJ
1098,>N,P<,>N,>N,SUBJ,ACC
1099,P<,>N,N<,SUBJ,ACC,PRT-AUX
1100,>N,N<,>N,ACC,PRT-AUX,MV
1101,N<,>N,SUBJ,PRT-AUX,MV,ACC
1102,>N,SUBJ,ACC,MV,ACC,>N
1103,SUBJ,ACC,PRT-AUX,ACC,>N,N<
1104,ACC,PRT-AUX,MV,>N,N<,N<
1105,PRT-AUX,MV,ACC,N<,N<,P<
1106,MV,ACC,>N,N<,P<,N<
1107,ACC,>N,N<,P<,N<,P<
1108,>N,N<,N<,N<,P<,N<
1109,N<,N<,P<,P<,N<,PU
1110,N<,P<,N<,N<,PU,CO
1111,P<,N<,P<,PU,CO,CJT
1112,N<,P<,N<,CO,CJT,>N
1113,P<,N<,PU,CJT,>N,N<
1114,N<,PU,CO,>N,N<,N<
1115,PU,CO,CJT,N<,N<,P<
1116,CO,CJT,>N,N<,P<,N<
1117,CJT,>N,N<,P<,N<,P<
1118,>N,N<,N<,N<,P<,N<
1119,N<,N<,P<,P<,N<,P<
1120,N<,P<,N<,N<,P<,CO
1121,P<,N<,P<,P<,CO,>N
1122,N<,P<,N<,CO,>N,CJT
1123,P<,N<,P<,>N,CJT,>N
1124,N<,P<,CO,CJT,>N,N<
1125,P<,CO,>N,>N,N<,N<
1126,CO,>N,CJT,N<,N<,P<
1127,>N,CJT,>N,N<,P<,N<
1128,CJT,>N,N<,P<,N<,P<
1129,>N,N<,N<,N<,P<,N<
1130,N<,N<,P<,P<,N<,P<
1131,N<,P<,N<,N<,P<,N<
1132,P<,N<,P<,P<,N<,>N
1133,N<,P<,N<,N<,>N,P<
1134,P<,N<,P<,>N,P<,PU
1135,N<,P<,N<,P<,PU,
1136,P<,N<,>N,PU,,
1137,N<,>N,P<,,,
1138,,,,STA,>N,ACC
1139,,,SUBJ,>N,ACC,
1140,,SUBJ,STA,ACC,,
1141,SUBJ,STA,>N,,,
1142,,,,SUBJ,N<ARGO,P<
1143,,,>N,N<ARGO,P<,N<
1144,,>N,SUBJ,P<,N<,>N
1145,>N,SUBJ,N<ARGO,N<,>N,P<
1146,SUBJ,N<ARGO,P<,>N,P<,STA
1147,N<ARGO,P<,N<,P<,STA,>N
1148,P<,N<,>N,STA,>N,ACC
1149,N<,>N,P<,>N,ACC,ADVL
1150,>N,P<,STA,ACC,ADVL,P<
1151,P<,STA,>N,ADVL,P<,CO
1152,STA,>N,ACC,P<,CO,CJT
1153,>N,ACC,ADVL,CO,CJT,PU
1154,ACC,ADVL,P<,CJT,PU,
1155,ADVL,P<,CO,PU,,
1156,P<,CO,CJT,,,
1157,,,,SUBJ,N<,>N
1158,,,>N,N<,>N,P<
1159,,>N,SUBJ,>N,P<,STA
1160,>N,SUBJ,N<,P<,STA,MV
1161,SUBJ,N<,>N,STA,MV,PIV
1162,N<,>N,P<,MV,PIV,>N
1163,>N,P<,STA,PIV,>N,P<
1164,P<,STA,MV,>N,P<,N<
1165,STA,MV,PIV,P<,N<,>N
1166,MV,PIV,>N,N<,>N,P<
1167,PIV,>N,P<,>N,P<,N<
1168,>N,P<,N<,P<,N<,>N
1169,P<,N<,>N,N<,>N,P<
1170,N<,>N,P<,>N,P<,N<
1171,>N,P<,N<,P<,N<,PU
1172,P<,N<,>N,N<,PU,
1173,N<,>N,P<,PU,,
1174,>N,P<,N<,,,
1175,,,,P<,N<,P<
1176,,,ADVL,N<,P<,PU
1177,,ADVL,P<,P<,PU,>N
1178,ADVL,P<,N<,PU,>N,SUBJ
1179,P<,N<,P<,>N,SUBJ,N<ARGO
1180,N<,P<,PU,SUBJ,N<ARGO,P<
1181,P<,PU,>N,N<ARGO,P<,N<
1182,PU,>N,SUBJ,P<,N<,STA
1183,>N,SUBJ,N<ARGO,N<,STA,PIV
1184,SUBJ,N<ARGO,P<,STA,PIV,>N
1185,N<ARGO,P<,N<,PIV,>N,P<
1186,P<,N<,STA,>N,P<,X
1187,N<,STA,PIV,P<,X,>N
1188,STA,PIV,>N,X,>N,P<
1189,PIV,>N,P<,>N,P<,N<ARG
1190,>N,P<,X,P<,N<ARG,P<
1191,P<,X,>N,N<ARG,P<,N<
1192,X,>N,P<,P<,N<,PU
1193,>N,P<,N<ARG,N<,PU,
1194,P<,N<ARG,P<,PU,,
1195,N<ARG,P<,N<,,,
1196,,,,UTT,PU,ADVL
1197,,,>N,PU,ADVL,N<PRED
1198,,>N,UTT,ADVL,N<PRED,ACC
1199,>N,UTT,PU,N<PRED,ACC,SA
1200,UTT,PU,ADVL,ACC,SA,>N
1201,PU,ADVL,N<PRED,SA,>N,P<
1202,ADVL,N<PRED,ACC,>N,P<,N<
1203,N<PRED,ACC,SA,P<,N<,>N
1204,ACC,SA,>N,N<,>N,P<
1205,SA,>N,P<,>N,P<,ADVL
1206,>N,P<,N<,P<,ADVL,P<
1207,P<,N<,>N,ADVL,P<,>N
1208,N<,>N,P<,P<,>N,ACC
1209,>N,P<,ADVL,>N,ACC,PU
1210,P<,ADVL,P<,ACC,PU,
1211,ADVL,P<,>N,PU,,
1212,P<,>N,ACC,,,
1213,,,,STA,ACC,N<
1214,,,SUBJ,ACC,N<,PIV
1215,,SUBJ,STA,N<,PIV,P<
1216,SUBJ,STA,ACC,PIV,P<,N<
1217,STA,ACC,N<,P<,N<,P<
1218,ACC,N<,PIV,N<,P<,
1219,N<,PIV,P<,P<,,
1220,PIV,P<,N<,,,
1221,,,,>N,SUBJ,N<
1222,,,>N,SUBJ,N<,STA
1223,,>N,>N,N<,STA,ADVL
1224,>N,>N,SUBJ,STA,ADVL,PIV
1225,>N,SUBJ,N<,ADVL,PIV,>N
1226,SUBJ,N<,STA,PIV,>N,P<
1227,N<,STA,ADVL,>N,P<,N<ARGO
1228,STA,ADVL,PIV,P<,N<ARGO,>N
1229,ADVL,PIV,>N,N<ARGO,>N,P<
1230,PIV,>N,P<,>N,P<,N<
1231,>N,P<,N<ARGO,P<,N<,N<
1232,P<,N<ARGO,>N,N<,N<,>N
1233,N<ARGO,>N,P<,N<,>N,P<
1234,>N,P<,N<,>N,P<,N<
1235,P<,N<,N<,P<,N<,N<
1236,N<,N<,>N,N<,N<,P<
1237,N<,>N,P<,N<,P<,CO
1238,>N,P<,N<,P<,CO,>N
1239,P<,N<,N<,CO,>N,>N
1240,N<,N<,P<,>N,>N,CJT
1241,N<,P<,CO,>N,CJT,N<
1242,P<,CO,>N,CJT,N<,>N
1243,CO,>N,>N,N<,>N,P<
1244,>N,>N,CJT,>N,P<,N<
1245,>N,CJT,N<,P<,N<,N<
1246,CJT,N<,>N,N<,N<,>N
1247,N<,>N,P<,N<,>N,P<
1248,>N,P<,N<,>N,P<,N<
1249,P<,N<,N<,P<,N<,>N
1250,N<,N<,>N,N<,>N,P<
1251,N<,>N,P<,>N,P<,N<
1252,>N,P<,N<,P<,N<,P<
1253,P<,N<,>N,N<,P<,PU
1254,N<,>N,P<,P<,PU,
1255,>N,P<,N<,PU,,
1256,P<,N<,P<,,,
1257,,,,SUBJ,STA,PIV
1258,,,>N,STA,PIV,>N
1259,,>N,SUBJ,PIV,>N,P<
1260,>N,SUBJ,STA,>N,P<,N<
1261,SUBJ,STA,PIV,P<,N<,>N
1262,STA,PIV,>N,N<,>N,P<
1263,PIV,>N,P<,>N,P<,N<
1264,>N,P<,N<,P<,N<,>N
1265,P<,N<,>N,N<,>N,P<
1266,N<,>N,P<,>N,P<,N<
1267,>N,P<,N<,P<,N<,P<
